Host,Контур,ПО,Версия
mdm01-common-in-rmq01t,test,RabbitMQ,4.1.2
mdm01-common-int-rmq01t,test,RabbitMQ,4.1.2
mdm01-common-kriint-rmq01t,test,RabbitMQ,4.1.2
mdm01-infra-elk01t,test,Docker,29.2.0-ce
mdm01-infra-elk01t,test,Logstash,8.9.0
mdm01-infra-elk01t,test,Opensearch,2.16.0
mdm01-kad-asur2-app01t,test,Docker,29.2.0-ce
mdm01-kpd-kkd-app01t,test,Docker,26.1.5-ce
mdm01-kpd-registry-app01t,test,Docker,29.2.0-ce
mdm01-kri-db01t,test,Docker,1.13.1
mdm01-kri-es01t,test,Docker,1.13.1
mdm01-kri-es01t,test,Elasticsearch,6.8.22
mdm01-kri-es02t,test,Docker,1.13.1
mdm01-kri-es02t,test,Elasticsearch,6.8.22
mdm01-kri-es21t,test,Docker,1.13.1
mdm01-kri-es21t,test,Elasticsearch,6.8.22
mdm01-kri-lb01t,test,Docker,1.13.1
mdm01-kri-lb01t,test,Nginx,1.27.1.2
mdm01-kri-lb21t,test,Docker,1.13.1
mdm01-kri-lb21t,test,Nginx,1.27.1.2
mdm01-kri-links-app01t,test,Docker,29.0.2-ce
mdm01-kri-links-db01t,test,Docker,29.2.0-ce
mdm01-kri-links-db01t,test,PostgreSQL,18.1.0
mdm01-kri-links-os01t,test,Docker,29.2.0-ce
mdm01-kri-main-app01t,test,Docker,28.2.2-ce
mdm01-kri-main-db01t,test,Docker,29.2.0-ce
mdm01-kri-main-db01t,test,PostgreSQL,18.2.0
mdm01-kri-main-os01t,test,Docker,29.2.0-ce
mdm01-kri-main-os02t,test,Docker,29.2.0-ce
mdm01-kri-pg21t,test,Docker,1.13.1
mdm01-kri-rmq01t,test,Docker,1.13.1
mdm01-ksrd-db01t,test,Docker,1.13.1
mdm01-ksrd-db01t,test,PostgreSQL,12.8.0
mdm01-ksrd-es01t,test,Docker,1.13.1
mdm01-ksrd-es01t,test,Elasticsearch,5.6.3
mdm01-ksrd-es02t,test,Docker,1.13.1
mdm01-ksrd-es02t,test,Elasticsearch,5.6.3
mdm01-ksrd-es03t,test,Docker,1.13.1
mdm01-ksrd-es03t,test,Elasticsearch,5.6.3
mdm01-ksrd-es04t,test,Docker,1.13.1
mdm01-ksrd-es04t,test,Elasticsearch,5.6.3
mdm01-ksrd-lb01t,test,Docker,1.13.1
mdm01-ksrd-lb01t,test,Nginx,1.27.1.2
mdm01-ksrd-rmq01t,test,Docker,1.13.1
mdm01-ksrd-ud-app01t,test,Docker,29.2.0-ce
mdm01-ksrd-ud-app01t,test,Tomcat,9.0.71
mdm01-ksrd-ud-app02t,test,Docker,29.2.0-ce
mdm01-ksrd-ud-app02t,test,Tomcat,9.0.71
mdm01-ksrd-ud-lb01t,test,Docker,29.2.0-ce
mdm01-ksrd-ud-lb01t,test,Nginx,1.27.1.2
mdm01-ksrd-ud-mongo01t,test,Mongodb,7.0.21
mdm01-ksrd-ud-os01t,test,Docker,29.2.0-ce
mdm01-ksrd-ud-os02t,test,Docker,29.2.0-ce
mdm01-ksrd-ud-os03t,test,Docker,29.2.0-ce
mdm01-ksrd-ud-os04t,test,Docker,29.2.0-ce
mdm01-ksrd-ud-pg01t,test,Docker,29.2.0-ce
mdm01-ksrd-ud-pg01t,test,PostgreSQL,16.8.0
mdm01-ksrd-ud01t,test,Docker,1.13.1
mdm01-ksrd-ud01t,test,Tomcat,9.0.58
mdm01-ksrd-ud02t,test,Docker,1.13.1
mdm01-ksrd-ud02t,test,Tomcat,9.0.58
mdm01-kzd-lb01t,test,Consul,v1.8.3
mdm01-kzd-lb01t,test,Docker,20.10.21
mdm01-kzd-lb01t,test,Nginx,1.27.1.2
mdm01-kzd-rmq11t,test,Docker,1.13.1
mdm01-kzd-stage01t,test,Apache_ignite,2.12.0
mdm01-kzd-stage01t,test,Consul,v1.8.4
mdm01-kzd-stage01t,test,Docker,19.03.12
mdm01-kzd-stage01t,test,Tomcat,8.0.30
mdm01-kzd-stage02t,test,Apache_ignite,2.12.0
mdm01-kzd-stage02t,test,Consul,v1.8.4
mdm01-kzd-stage02t,test,Docker,19.03.12
mdm01-pdp-app01t,test,Docker,1.13.1
mdm01-pdp-db01t,test,Docker,1.13.1
mdm01-pdp-db01t,test,PostgreSQL,12.12.0
mdm01-pdp-es01t,test,Docker,1.13.1
mdm01-pdp-es01t,test,Elasticsearch,6.8.23
mdm01-pdp-hist-chk01t,test,Clickhouse_keeper,24.12.1.1614
mdm01-pdp-hist-chk01t,test,Docker,29.2.0-ce
